year,POP,industrial_output,food_per_capita,NR,PPOL,life_expectancy,human_welfare_index,ecological_footprint
1900.0,1600000000.0,66500000000.0,291.17812499999997,1000000000000.0,25000000.0,30.18288477521825,0.17410889824875725,5.442823529411765
1901.0,1613946874.9275877,66500000000.0,288.66191771083083,999717375000.0,15543297.652694246,30.18288477521825,0.1731044100685407,5.490267516297789
1902.0,1627115345.8896673,69013843420.84198,288.03228804114275,999434750000.0,9763920.24930543,30.034752788700047,0.1740828473624466,5.553338532956225
1903.0,1642244335.4358861,71136705543.21199,288.0610721037236,999141441165.4614,6469091.96188736,30.003172165894213,0.1750158973546019,5.62587872687757
1904.0,1658368220.1288671,73148030498.99542,289.1743269259613,998839110166.9028,4982426.875383576,29.9977759058799,0.17596424776347608,5.706434557150342
1905.0,1675033403.7955518,75152994493.55463,290.69932452977025,998528231037.2822,4911305.730597717,30.044048798515302,0.1770942382121611,5.793701086450362
1906.0,1691994280.1737907,77200901285.80136,292.23355049935446,998208830810.6846,6013972.157812472,30.109666676283563,0.17836841012080637,5.88683983341519
1907.0,1709122912.892592,79307500651.20688,293.68709073799124,997880726980.2197,8125427.681800699,30.17519646937973,0.17974732036611377,5.985210144218121
1908.0,1726344062.2760057,81476176598.06337,295.09402282265006,997543670102.4521,11117587.867573746,30.2365554146335,0.1812177156088983,6.088316463591762
1909.0,1743615198.0729468,83707985713.66539,296.49643139673054,997197396351.9102,14879092.938178347,30.295728965864765,0.18277859083006637,6.195813247424411
1910.0,1760915206.174433,86004677846.39188,297.9149289328929,996841637412.627,19306102.78715519,30.355017170796692,0.1844297758354757,6.307471126020184
1911.0,1778236806.0929468,88368875474.15816,299.3547038349509,996476117531.7798,24298965.645844948,30.415591379422487,0.18616885995329338,6.423133749025134
1912.0,1795581518.7748911,90803691359.17249,300.8154373233604,996100549811.0146,29761797.358284365,30.47781768314335,0.18799198105807324,6.542687303513231
1913.0,1812956493.555248,93312487069.09096,302.29632579137837,995714634122.7383,35603303.3827161,30.54176533550117,0.18989507656717108,6.666045625893474
1914.0,1830372536.6996114,95898802927.8257,303.7972715042121,995318056052.6948,41737947.98917671,30.60746477668138,0.19187454664415127,6.793145478444009
1915.0,1847842847.8566453,98566357290.07146,305.3186717220428,994910486140.2515,48087026.080161534,30.674971070664956,0.19392742161575963,6.923946438490374
1916.0,1865382171.4567182,101319053759.47084,306.86109208488017,994491579121.7686,54579448.473936014,30.744355853393422,0.19605132369950692,7.0338268007550155
1917.0,1883006210.6113238,104160981863.28712,308.4251320890936,994060973143.291,61152190.02676622,30.81569280955523,0.1982443929962183,7.118260391685666
1918.0,1900731222.7977874,107096415235.70451,310.011419907004,993618288970.3721,67750420.12758434,30.889052362912533,0.20050522882702299,7.203637696302311
1919.0,1918573747.350886,110129812426.55605,311.6206417060075,993163129205.6201,74327366.24100524,30.96450257493191,0.20283284641114174,7.289876067299421
1920.0,1936550428.8054032,113265822122.42747,313.2535634421299,992695077502.8071,80843970.79924718,31.042111586353954,0.20487131092019117,7.376911135059396
1921.0,1954677909.0279002,116509292354.65576,314.9110401359949,992213697758.7866,87268400.13044417,31.12194955148365,0.20686289592013518,7.4646963866376215
1922.0,1972972768.168874,119865282713.61322,316.5940186049442,991718533266.2793,93575457.20220244,31.20408984946868,0.2089039914304129,7.553202443664587
1923.0,1991451500.1243958,123339078814.83673,318.30353843786344,991209105814.7466,99745941.10402,31.28860989341823,0.21099526987382056,7.642416116078135
1924.0,2010130512.4127724,126936208601.11028,320.0407329743109,990684914729.7837,105765987.19740826,31.375591791702355,0.21313754239314833,7.732339307254491
1925.0,2029026143.363391,130662460288.74603,321.80683045986353,990145435843.229,111626413.62883762,31.4651229604786,0.21533175241793268,7.8229878379477515
1926.0,2048157913.934205,134523901882.23134,323.602646087867,989590120387.002,117322092.80734864,31.557296704725402,0.2175787966888229,7.914402696965377
1927.0,2067566847.5026221,138526971328.7534,325.4257799459256,989018393804.0024,122851360.58923438,31.652181629862948,0.21987847696513801,8.006719791006908
1928.0,2087270224.4004097,142678923278.92407,327.27823746456585,988429654175.8555,128215471.26199417,31.749649999792517,0.22223166647282908,8.09999392878885
1929.0,2107283970.9212363,146986993104.01968,329.1624890489703,987823268751.9199,133418102.92621595,31.849841669363173,0.22463998889102416,8.19428364448874
1930.0,2127624742.724085,151458671983.0228,331.08071834049315,987198574031.228,138472877.31697652,31.95292253080958,0.22710514134286158,8.289658102363125
1931.0,2148309718.624826,156101828137.86304,333.03487163749526,986554874675.3003,143449499.9407342,32.05904555230857,0.2296288411719619,8.38133759365136
1932.0,2169356539.512975,160924756511.59903,335.02684463267246,985891441905.7144,148339072.4630443,32.16835290262565,0.23221284698474112,8.469402611497221
1933.0,2190783281.2617955,165936214975.98776,337.0035448438357,985207511690.54,153134444.7388762,32.2809749971762,0.23485896131042858,8.558962278717868
1934.0,2212600322.271938,171145460669.66226,338.92341743756816,984502282776.8921,157835067.09394696,32.39429031381639,0.2375610528485515,8.650048432201286
1935.0,2234812333.460646,176560494977.35828,340.81407487010694,983774914569.0459,162444577.31213546,32.506273688620574,0.24031418253921658,8.74267836368227
1936.0,2257427809.703093,182188624879.1368,342.694469932224,983024532465.3921,166969208.14767542,32.61838992057286,0.24312343175912118,8.836889445474558
1937.0,2280457186.8749037,188038792498.53616,344.5722917505125,982250230809.6558,171416744.5530746,32.7316571626128,0.24599308878317905,8.932730061877672
1938.0,2303912195.218978,194120969950.15176,346.45082920207926,981451065941.5371,175795846.15040234,32.846536356414454,0.24892600500829398,9.030255945374668
1939.0,2327805528.0175385,200445734139.25156,348.3334489188823,980626051819.249,180115608.96896595,32.96327376951011,0.25192444529768304,9.129528135000593
1940.0,2354416833.928874,206991542027.39017,349.8873564288296,979774157449.1572,184385283.800241,33.08212460691573,0.2548474852616612,9.239504990040746
1941.0,2392284983.0155153,213832852948.12912,349.90968934127926,978894443395.541,188614100.178145,37.342916403085205,0.2699743451568284,9.393744919698522
1942.0,2429879853.247758,221265599750.93018,350.3628853210123,977985653770.5112,192811185.5146131,37.39949955245886,0.27249335841803607,9.547034704515319
1943.0,2467683492.28008,229072490378.41663,351.20494939008205,977045274971.5698,196985638.0736466,37.48723336626144,0.27523231170059786,9.701277398203676
1944.0,2505916288.4466515,237199277208.15982,352.25572553174726,976071716887.4614,201146745.2983443,37.60125146530041,0.2781369269051667,9.85735196454308
1945.0,2544689198.208264,245637206131.2175,353.37682684086013,975063619959.3267,205304180.48318154,37.73068447828726,0.28115976200810555,10.015709684993363
1946.0,2584062698.4205976,254392145522.14627,354.51779761060766,974019661833.269,209468046.57944492,37.8675756534036,0.2842704929791929,10.176605377313418
1947.0,2624080026.012859,263474741365.8567,355.67632522870304,972938495214.7998,213648773.69748276,38.009173670193796,0.2874572448682165,10.340227928791677
1948.0,2664781567.3595443,272898027958.67337,356.86012747544805,971818727563.9951,217856944.97473037,38.15553502373728,0.29071786921768666,10.506756763921226
1949.0,2706208574.2121553,282676759312.72546,358.1591848314627,970658910945.1709,222103123.026354,38.30730128521847,0.2940527925847377,10.676376288517165
1950.0,2748421113.4491243,292826966088.8697,359.56750140960247,969457534718.0918,226397743.8741734,38.469887316071386,0.2974768583734931,10.849346556381478
1951.0,2791478049.1470942,303367690867.3751,361.0247172242399,968213020112.2139,230751090.90010324,38.64313456233879,0.3009890585262798,11.025924309532405
1952.0,2835426600.401791,314318703015.07513,362.5029644300116,966923707426.0273,235173285.9792826,38.82373160964283,0.30457936138637803,11.20632169940995
1953.0,2880309254.110496,325699213217.56616,364.0057692838631,965587852938.2134,239674259.26840666,39.01025438449381,0.308243516779031,11.39073351751991
1954.0,2926169939.548353,337528705743.183,365.5419099394537,964203631282.0386,244263709.98511043,39.20310196010608,0.3119829089425994,11.579361569923957
1955.0,2973055030.4369073,349827741094.2115,367.1146443787236,962769134282.6299,248951081.11380422,39.402981739275106,0.31580002989438866,11.772418644945663
1956.0,3021012344.750391,362618108462.06976,368.7233957568254,961282366382.9795,253745556.94751292,39.610286129778025,0.31969656729969753,11.970124584084084
1957.0,3070090537.6390786,375922721002.9932,370.3673154760026,959741239422.0156,258656080.58137998,39.825192592062386,0.3236736719469509,12.172703935156527
1958.0,3120281015.746508,389765573594.4683,372.0533413948189,958143567857.7529,263691385.59440523,40.047873160566546,0.3277098119547704,12.38015557889518
1959.0,3171402756.216258,404169386272.0478,373.80758196667176,956487064169.9766,268860037.49892503,40.27909999475546,0.33174601682336774,12.591794726570155
1960.0,3223509590.1030946,419149700789.23956,375.62204217906867,954769344278.3203,274170481.00837314,40.521173219801454,0.3358807701093379,12.807868801228857
1961.0,3276647475.614761,434729709017.3942,377.489337177427,952987958049.9658,279631087.00990075,40.77383808292499,0.34011323048383435,13.028595719861114
1962.0,3330859694.3649707,450935700678.6533,379.40653400524866,951140356786.6421,285250193.4530083,41.03696400351772,0.34444370962227133,13.254184608710394
1963.0,3386189221.511408,467795878453.8074,381.373703420816,949223880058.7578,291036140.0257424,41.31072364440074,0.34887370635468984,13.484845351603536
1964.0,3442679855.8079944,485340086325.6263,383.39143003122274,947235747575.3291,296997300.8170826,41.59549519100848,0.3531937925627803,13.720793237020029
1965.0,3500376603.5819087,503599791605.147,385.4598850473649,945173052208.4453,303142118.7712823,41.891710905996355,0.3571338535375232,13.962250657473094
1966.0,3559325794.5234394,522608106112.956,387.5789820991855,943032753094.1235,309479143.3839699,42.199801648638896,0.3611612892515789,14.209447761156445
1967.0,3619575178.0703077,542399830985.4759,389.7486332603453,940811668643.1436,316017071.4330637,42.520207349153445,0.36527850365855813,14.462623048135331
1968.0,3681174043.624499,563011533803.183,391.9687914755886,938506469361.4551,322764790.0280587,42.85339411363858,0.369488026669133,14.72202408489769
1969.0,3744173340.62114,584481648671.4253,394.23939327872597,936113670342.7915,329731421.29615176,43.19985876257855,0.37379252339175456,14.987908242277095
1970.0,3808625785.9312835,606850586245.3997,394.74932004187275,933629623335.938,336926222.6506581,43.56012747402938,0.3781947885257965,15.260543407058647
1971.0,3874203749.5513096,630160848456.2999,395.08481081245753,931050508344.395,344357501.6392777,43.82132415067968,0.3823852418522563,15.538675390810601
1972.0,3940924477.3548517,654372066919.4291,396.0609531517244,928372324738.4556,352031210.9185548,44.08297141627334,0.38663571215731657,15.822429640866313
1973.0,4008957461.3942523,679523608626.4744,397.31617731710486,925591243454.0479,359950939.4981813,44.39627599935657,0.39109115567991004,16.112540681187202
1974.0,4078435127.7138987,705692025381.7157,398.59005095003744,922703268117.3853,368118842.87368923,44.74165582402476,0.3956991916721839,16.409593346540408
1975.0,4149421976.1205173,732936074471.5917,399.8447300103633,919704077009.5132,376536541.85384345,45.11648117874328,0.4004557618837274,16.713899582435324
1976.0,4221950766.7385163,761303327407.0558,401.12425123435287,916589098693.0088,385205720.5963779,45.50141417102059,0.4053059792879594,17.02564481232533
1977.0,4296065111.444962,790841215991.2135,402.45742908738623,913353559551.5288,394128520.24484193,45.89976382236842,0.4102607709621756,17.345060553289724
1978.0,4371851847.873747,821601953930.4303,403.84398606274505,909992484383.5659,403307837.546134,46.31390343015487,0.4153270164753852,17.67255657153555
1979.0,4449625735.409318,853643983083.1108,405.2552576974804,906500676079.3618,412747562.7716668,46.74960548706104,0.4205125976061961,18.00947042318194
1980.0,4529500501.53631,887043940904.043,406.68764825885285,902872689151.2588,422452756.54615223,47.206130032976304,0.42581765565327123,18.35633590325625
1981.0,4611569788.540805,921828390311.7809,408.14493898703984,899102752402.4165,432429770.34992486,47.68374119219261,0.4312446662727363,18.713613100639545
1982.0,4695924513.246665,957946984197.6002,409.6236392188366,895184981743.5913,442686326.0312256,48.18272532577752,0.4358477359496133,19.081759181648554
1983.0,4782358921.16752,995498964947.2721,410.9517873609481,891029277693.7842,453231579.8822456,48.57303747549071,0.4401769031529388,19.460032928929532
1984.0,4870637234.1864605,1034570024947.9791,412.1732324343775,886622784779.5464,464076248.6820284,48.964188569738006,0.44459494703363106,19.847573418199033
1985.0,4960814844.392015,1075207247119.3062,413.4004699268505,881953870572.0195,475232623.5166375,49.363412823067435,0.44911851892021515,20.24471035152275
1986.0,5052973589.762183,1117471172291.9585,408.90997204453043,877010540519.6782,486713766.97030795,49.77900004202768,0.45376864973968334,20.651891202691253
1987.0,5145431929.570758,1161436538075.0408,403.0766746029076,871780343992.9097,498528416.48014116,49.81210215971179,0.45738470572175743,21.062353908437572
1988.0,5237874639.692244,1206672075203.715,398.15695854367056,866248663021.3667,510673835.8764744,49.7635770398723,0.46083419211835225,21.47488668240037
1989.0,5330558131.133699,1253147378733.5374,393.8274256249024,860404369539.0571,523133617.2864901,49.79025183965381,0.4645789818167406,21.89058516492569
1990.0,5423629829.158034,1301011609884.549,389.78829052740497,854236832293.1592,535879801.84967554,49.870487811326434,0.4685576905750203,22.310062271906517
1991.0,5517044372.169726,1350360611783.2722,385.90839823084224,847734247552.9116,548876406.0666342,49.984196695885814,0.47271454423047227,22.73310243216364
1992.0,5610408187.292588,1401246787814.3308,382.1761468868127,840883932134.7607,562082873.9617702,50.077537240320325,0.4768934164083039,23.15802125154561
1993.0,5703583613.746075,1453679477487.197,378.1030769187818,833672390109.9487,575456906.6042238,50.064848477643636,0.48081977730352504,23.584159530021193
1994.0,5796458184.821877,1507676272882.112,372.2867920091046,826085919934.3071,588956022.5754172,50.03577263581518,0.4847755117811849,24.01094441151996
1995.0,5888470534.732557,1563219840690.075,366.8268044074266,818110564912.9282,602536867.1273607,49.886708121958186,0.48843446420931197,24.435927471007528
1996.0,5979588326.715961,1620139365502.3562,361.699120760575,809732014788.1494,616154211.7917157,49.77136571754265,0.49227489440586314,24.85883109440773
1997.0,6069863664.048751,1678506796266.3994,356.8275917618462,800937424834.0483,629761728.1565274,49.68785471665149,0.49629316968153603,25.279713107783422
1998.0,6159329027.738042,1738381235426.4534,352.1619608665557,791713367664.3613,643313503.0309559,49.630785012116945,0.5004739721347918,25.698538141094136
1999.0,6248020006.820156,1799809976619.594,347.6773656073388,782045927979.3442,656765603.4261264,49.596651313769314,0.5045912195742716,26.115277061525504
